customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
3463,1,1,1,0,72,1,2,1,0,2,2,2,2,2,2,0,1,109.7,7898.45
1312,1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,90.6,6441.85
2959,0,0,1,1,68,1,2,0,2,2,2,0,2,0,1,1,1,73.0,5163.0
1163,0,0,0,0,42,0,1,0,2,2,2,2,0,2,1,1,2,54.75,2348.45
6178,1,1,0,0,21,1,0,2,1,1,1,1,1,1,1,0,0,20.5,429.55
2914,0,1,0,0,8,1,0,1,0,0,2,0,2,2,0,1,2,92.1,729.95
6703,1,1,1,0,10,1,0,1,2,0,0,0,0,0,0,0,2,75.3,720.45
6730,0,0,0,0,71,1,2,1,2,2,2,0,2,2,2,1,1,106.75,7283.25
1162,0,1,0,0,46,1,0,1,0,2,2,0,2,0,1,1,0,91.3,4126.35
6794,0,0,1,1,3,1,0,1,0,2,0,2,0,0,0,1,2,80.0,241.3
2371,0,1,0,0,12,1,2,1,0,2,0,0,2,0,0,1,2,91.3,1094.5
6458,0,0,1,0,26,0,1,0,2,2,2,0,2,0,1,0,0,47.85,1190.5
634,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1,3,50.15,160.85
329,0,0,0,0,49,1,0,0,0,0,2,2,2,2,2,1,0,74.45,3721.9
306,1,0,0,0,33,1,0,1,0,2,0,2,0,0,2,0,0,80.6,2651.1
1612,1,0,1,0,42,1,2,1,2,0,2,0,0,2,0,1,2,94.4,4014.6
4732,1,0,1,1,31,1,2,0,2,2,0,2,0,2,1,1,0,75.25,2344.5
888,1,1,1,1,68,1,2,1,0,0,2,2,2,2,1,1,1,107.15,7379.8
3432,1,1,1,1,66,1,2,1,2,2,2,2,2,2,1,1,2,116.25,7862.25
537,1,0,1,1,58,1,0,2,1,1,1,1,1,1,1,1,2,19.55,1108.8
4133,1,0,1,1,35,1,0,2,1,1,1,1,1,1,2,0,3,20.1,655.3
5194,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2
3401,0,0,0,0,40,1,0,1,0,2,0,0,0,0,0,0,1,74.8,2971.7
2862,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45
5453,1,0,1,0,57,1,0,0,2,0,0,2,0,0,0,0,2,55.7,3171.6
7007,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,75.3,75.3
6441,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,45.7
5160,0,0,0,0,46,1,0,0,0,0,2,2,0,0,2,0,1,54.35,2460.15
6976,0,1,1,1,40,1,2,1,0,0,0,0,2,2,0,1,1,94.55,3640.45
6038,1,0,1,1,21,1,2,0,2,2,0,2,2,0,1,0,3,77.5,1625.0
1718,0,0,0,0,6,1,0,1,2,2,2,2,0,2,0,1,0,98.15,567.45
6062,1,0,1,1,59,1,2,1,2,2,0,2,2,2,2,1,3,111.1,6555.2
3476,1,0,0,0,15,1,2,0,0,2,0,2,0,0,0,1,1,58.6,939.7
3507,0,0,0,0,27,1,2,1,0,0,0,0,2,2,0,1,3,94.55,2724.6
103,1,0,0,0,71,1,2,1,2,2,2,2,2,2,1,1,0,116.3,8309.55
4421,0,0,0,0,45,1,2,1,0,0,2,0,0,2,0,1,1,89.3,4192.15
6590,1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,20.7,73.05
3203,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,19.6
4584,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15
5785,1,0,0,0,34,1,0,0,0,2,0,0,0,0,0,1,2,49.8,1734.2
374,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1
2345,0,0,0,0,8,1,0,0,2,0,0,2,0,0,1,0,0,54.25,447.75
1548,1,0,0,0,7,0,1,0,0,0,2,2,0,0,1,1,1,35.5,249.55
3472,1,0,1,1,5,1,2,1,2,0,2,0,0,0,0,1,2,84.5,453.75
3027,0,0,0,0,39,1,0,0,0,0,0,2,0,2,1,0,2,59.3,2209.15
6131,1,0,1,1,29,1,0,2,1,1,1,1,1,1,0,1,3,20.65,654.85
1521,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2
4574,1,0,0,1,31,0,1,0,0,0,0,0,0,0,0,0,1,25.0,789.2
1208,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,24.3,38.45
4744,1,0,1,0,63,1,0,0,2,2,0,2,2,0,1,0,1,70.8,4448.8
2778,1,0,0,0,20,1,0,1,0,0,0,0,2,0,0,0,2,78.8,1641.3
3686,0,0,1,0,71,1,2,0,0,2,2,2,2,2,2,1,1,83.3,5894.5
4251,0,0,0,0,66,1,0,0,2,2,2,0,0,0,2,1,0,61.15,4017.45
1510,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,3,45.15,438.4
2203,0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,96.0,174.8
2516,1,0,1,0,3,0,1,0,2,0,0,2,0,0,0,0,3,35.1,101.1
638,0,0,0,0,47,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1029.8
5928,1,0,0,0,2,0,1,0,0,0,2,0,2,2,0,1,2,49.25,90.35
6133,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.0,74.0
5224,0,0,0,0,7,1,0,2,1,1,1,1,1,1,1,0,3,20.25,129.15
4849,1,0,1,1,69,1,2,1,0,2,2,0,2,2,2,1,2,105.0,7297.75
4792,1,0,0,0,5,1,2,1,0,2,2,0,2,2,0,0,2,105.3,550.6
5391,0,0,1,0,71,1,0,2,1,1,1,1,1,1,2,0,3,19.6,1416.5
6971,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,1,74.3,74.3
1137,0,0,1,1,14,1,0,1,0,2,0,2,0,2,0,1,1,89.65,1208.35
6462,0,0,0,0,29,1,0,2,1,1,1,1,1,1,0,0,1,19.35,601.6
4168,1,0,0,0,56,1,0,0,0,2,2,2,2,2,2,1,1,81.8,4534.45
2322,1,1,1,0,6,1,0,1,0,0,2,0,2,2,0,1,2,95.75,573.75
6700,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2
5271,0,0,1,1,46,1,0,1,0,0,2,2,0,2,1,0,0,90.95,4236.6
3028,1,0,0,0,20,1,0,1,2,2,2,2,2,2,0,1,0,108.2,2203.7
1976,0,1,0,0,20,1,2,1,0,0,0,0,0,2,0,1,1,85.8,1727.5
6138,0,1,0,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.25,2841.55
742,0,0,1,1,24,1,0,2,1,1,1,1,1,1,2,1,3,19.7,494.05
3410,1,0,1,1,29,1,0,1,2,0,0,0,2,2,0,0,1,94.65,2649.15
3086,0,0,1,0,21,1,2,1,2,0,2,0,2,2,0,1,0,104.4,2200.25
3877,1,0,1,1,19,1,2,1,0,0,2,2,2,2,0,0,2,103.3,2012.7
5783,0,0,0,0,54,1,0,0,2,0,2,2,2,2,2,0,2,80.6,4299.95
4676,1,0,0,0,2,1,0,2,1,1,1,1,1,1,1,0,1,19.3,28.3
2163,0,1,1,0,27,1,2,1,2,0,0,2,2,2,0,1,0,104.3,2867.75
4147,1,0,0,0,46,0,1,0,2,0,2,2,2,2,2,1,0,60.75,2893.4
717,0,0,0,0,18,1,0,2,1,1,1,1,1,1,0,0,3,19.65,391.7
6594,0,0,1,1,52,1,0,2,1,1,1,1,1,1,2,0,3,19.85,1070.5
3195,0,0,1,1,43,1,0,0,0,0,0,0,2,0,0,0,2,56.15,2499.3
100,0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,19.95,58.0
6573,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,44.8,176.2
5974,1,0,1,1,6,1,0,1,0,2,0,0,0,2,0,1,1,83.55,477.55
4861,1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,3437.5
5810,0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,60.3,4109.0
5342,0,0,0,0,5,1,0,1,0,2,0,0,2,2,0,1,2,96.25,512.45
245,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,44.6,122.7
393,0,1,0,0,4,1,0,1,0,2,0,0,0,0,0,0,2,72.75,317.75
6575,0,0,0,0,4,1,2,2,1,1,1,1,1,1,2,1,1,25.3,116.95
6102,0,0,1,0,2,1,0,1,0,2,2,0,0,0,0,0,0,79.7,165.0
2037,1,0,1,1,40,1,2,1,2,2,0,2,2,2,0,1,1,110.1,4469.1
3676,1,0,0,0,10,1,0,1,0,0,0,2,2,2,0,1,1,95.1,865.1
5176,1,1,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.5,2088.45
5696,0,1,0,0,72,1,2,1,2,2,2,2,0,2,2,1,0,107.4,7748.75
3895,0,0,1,0,24,1,0,1,0,2,2,0,2,2,0,1,1,99.3,2431.35
5190,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,6350.5
3274,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,52.2
6625,0,0,0,0,18,1,2,1,0,0,0,2,2,0,0,1,2,88.35,1639.3
2635,1,0,0,0,4,0,1,0,0,0,0,2,0,2,0,1,2,40.05,162.45
3749,1,1,0,0,36,1,2,1,2,0,0,0,2,0,0,1,2,90.85,3186.7
4158,0,0,0,0,11,1,2,1,0,0,0,0,0,0,0,0,2,75.25,888.65
1230,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,69.55
6362,1,0,0,0,42,1,2,1,0,0,2,0,0,0,0,0,2,79.9,3313.4
876,0,1,1,0,16,1,2,1,0,0,0,0,0,2,0,1,1,85.35,1375.15
4727,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,5791.1
6504,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24.6,24.6
6628,0,0,1,1,38,1,0,2,1,1,1,1,1,1,2,1,3,19.95,756.4
368,1,1,1,1,24,1,2,1,2,0,0,0,0,0,0,1,2,79.85,1857.75
6165,1,0,1,1,31,1,2,0,0,0,0,0,0,2,0,0,0,59.7,1825.5
3368,1,0,0,1,8,1,0,2,1,1,1,1,1,1,0,0,0,19.45,159.2
5913,0,1,1,0,43,1,2,1,0,0,2,2,2,2,1,1,2,107.55,4533.9
2935,0,0,1,0,57,1,0,0,2,2,0,2,2,0,2,1,1,70.35,4124.65
1245,0,0,1,1,13,1,0,2,1,1,1,1,1,1,2,0,3,20.85,272.35
4906,1,0,0,0,40,1,0,1,0,2,0,2,0,2,1,1,1,89.6,3488.15
4314,1,0,1,1,23,1,0,2,1,1,1,1,1,1,1,0,3,19.65,436.9
2476,0,0,1,1,72,1,2,0,2,2,2,0,2,2,2,1,1,83.6,5959.3
5701,0,0,0,0,55,1,2,1,2,0,2,0,0,0,1,1,1,84.25,4589.85
5073,1,0,1,0,48,1,2,1,2,2,2,0,2,2,0,1,0,111.45,5315.1
793,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.95,74.95
6643,0,0,1,1,36,1,2,1,0,2,2,0,2,0,0,1,0,97.35,3457.9
966,1,0,0,0,11,1,0,0,0,0,2,0,2,2,0,1,2,69.35,712.25
3467,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,84.6,84.6
909,0,0,1,0,53,1,2,1,0,2,0,0,2,2,0,1,1,98.4,5149.5
2225,1,0,1,0,70,0,1,0,0,2,2,2,0,2,1,1,0,51.05,3635.15
5886,1,0,0,0,12,1,0,1,0,0,2,0,2,2,1,0,2,95.7,1184.0
2551,1,0,1,0,22,1,0,1,0,0,2,0,2,2,0,1,1,94.7,1914.9
894,0,0,1,1,55,1,0,1,0,0,0,0,0,0,2,1,1,69.05,3842.6
5231,0,1,0,0,28,1,2,0,0,2,2,2,0,0,0,0,0,64.45,1867.6
2346,0,0,1,1,58,1,0,2,1,1,1,1,1,1,2,1,3,19.85,1158.85
4801,1,0,0,0,19,1,0,2,1,1,1,1,1,1,1,1,1,19.7,386.5
3259,0,0,0,0,19,1,2,1,2,2,0,0,0,2,0,1,2,95.15,1789.25
6701,1,0,0,0,31,1,0,0,2,2,2,2,2,0,0,1,0,72.45,2156.25
2356,0,0,0,0,13,1,2,1,0,2,2,2,0,0,0,0,2,89.4,1132.35
3809,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.2,20.2
771,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.65,70.65
442,0,1,0,0,18,1,0,1,0,2,0,0,0,0,0,1,2,73.55,1359.45
3941,1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,19.95,257.0
6075,0,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,3,20.3,31.9
6060,1,0,1,0,70,1,0,0,2,2,2,2,0,0,2,0,1,64.95,4523.25
1664,1,1,1,0,44,1,0,2,1,1,1,1,1,1,2,1,1,19.35,847.25
5130,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9
1814,1,0,1,0,65,1,2,0,2,0,2,2,0,2,2,0,0,76.15,4929.55
5730,0,1,0,0,71,1,2,1,2,2,0,2,2,0,1,1,1,99.65,7181.25
5872,0,0,1,1,64,1,2,0,0,2,0,0,0,0,1,1,0,53.85,3399.85
2339,0,0,1,0,28,1,0,1,2,0,0,0,2,2,0,1,3,92.35,2602.9
5866,0,1,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,96.4,1581.2
1066,0,0,1,1,70,1,2,1,2,2,2,2,2,2,2,1,0,114.2,7723.9
5520,0,0,1,1,39,1,0,1,0,0,2,2,0,0,0,1,0,81.5,3107.3
1950,1,0,0,0,19,1,0,0,0,0,0,0,0,0,0,1,0,45.0,865.85
2214,0,0,0,0,60,1,0,1,2,0,2,2,2,2,0,1,0,104.95,6236.75
1165,1,0,1,0,51,1,2,1,0,2,0,0,0,2,1,1,1,90.35,4614.55
1836,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5
2698,1,0,1,0,66,1,2,1,0,2,2,0,2,2,0,1,1,105.0,7133.25
3429,0,0,1,1,58,0,1,0,0,0,2,2,2,2,2,1,1,55.5,3166.9
4099,0,0,1,1,69,1,0,0,0,2,2,2,0,0,1,0,0,59.1,4134.7
1969,0,0,0,0,27,1,0,0,0,2,0,2,0,0,0,1,3,56.15,1439.35
6864,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,2,48.6,48.6
4952,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.0,109.2
913,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,25.05,189.95
2809,1,1,0,0,8,1,0,1,0,0,0,0,0,0,0,1,2,69.7,560.85
2420,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,1071.4
3189,1,0,0,0,9,1,0,2,1,1,1,1,1,1,0,0,3,20.4,181.8
3269,1,0,0,0,12,1,2,0,2,2,0,2,0,0,0,1,2,67.25,832.3
6255,0,0,1,0,25,1,0,0,2,2,0,2,0,2,0,1,3,71.05,1837.7
155,0,0,1,1,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,2227.1
3748,0,0,0,0,49,1,0,1,0,0,2,2,2,2,2,0,1,100.65,4917.75
2186,1,1,1,0,57,0,1,0,0,0,0,0,2,2,0,1,2,44.85,2572.95
4923,1,0,1,0,11,1,0,2,1,1,1,1,1,1,1,1,3,20.55,184.95
1947,0,0,1,1,37,1,2,1,0,0,0,0,2,2,0,1,2,95.25,3314.15
2993,1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,101.3,4113.1
10,1,0,0,0,54,0,1,0,2,0,0,2,2,0,2,0,1,45.2,2460.55
3162,1,0,1,0,12,1,0,1,0,2,0,0,0,2,0,1,1,85.05,999.8
4541,1,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,3,55.3,238.5
993,1,0,1,1,66,1,0,1,2,2,2,0,2,2,1,1,0,103.15,7031.3
1011,1,0,1,1,70,0,1,0,2,0,2,2,2,2,2,0,0,59.5,4144.8
4975,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,2,74.9,74.9
1533,1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,103.25,6017.65
2410,1,1,0,0,47,1,2,1,0,0,0,0,2,0,0,1,1,86.05,3865.6
6508,0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,78.85,292.8
5090,0,0,1,1,57,1,0,0,2,0,2,2,0,0,1,1,3,59.3,3274.35
4846,0,0,0,0,15,1,0,1,0,0,2,0,2,2,0,1,1,94.0,1505.45
4018,0,0,0,0,24,1,2,1,0,0,0,2,0,2,0,1,2,89.55,2259.35
3088,0,0,0,0,20,1,0,2,1,1,1,1,1,1,1,1,1,19.35,433.75
1055,1,1,1,0,61,1,2,1,0,2,2,2,2,0,1,1,3,98.3,6066.55
4662,0,0,1,0,16,0,1,0,0,0,0,2,2,2,0,1,2,49.95,810.2
5792,0,0,1,0,72,1,2,1,0,2,0,0,2,2,2,1,1,97.7,6869.7
6899,0,1,0,0,14,0,1,0,2,0,2,2,0,0,2,0,3,39.7,692.35
1963,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,46.05,80.35
400,1,0,1,1,64,1,2,1,2,2,2,0,0,0,0,1,2,91.8,5960.5
125,1,0,1,0,30,1,0,2,1,1,1,1,1,1,1,0,1,19.8,576.65
5853,1,0,1,0,64,1,2,1,2,2,2,0,0,0,1,0,0,89.45,5692.65
2155,1,0,0,0,61,1,2,1,2,0,2,2,2,2,2,1,1,111.6,6876.05
781,0,0,1,1,50,1,2,0,0,2,2,2,2,2,1,1,1,84.15,4164.4
4787,0,0,0,0,47,1,2,1,2,0,2,0,2,0,1,0,1,94.9,4615.25
2376,1,0,0,0,51,1,2,0,2,0,0,2,0,0,1,0,1,59.9,3043.6
239,0,0,0,0,37,1,2,1,2,2,2,0,0,0,0,0,0,91.2,3382.3
3253,0,1,1,0,64,1,0,1,2,2,2,0,0,2,1,0,0,97.0,6430.9
6251,1,0,1,0,60,0,1,0,0,2,2,2,2,2,0,1,0,60.2,3582.4
2113,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,20.05
4780,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75
4941,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,76.0,76.0
251,0,0,1,1,17,1,2,1,0,0,2,0,2,0,0,0,2,88.25,1460.65
382,1,0,0,0,63,1,2,1,2,2,2,2,2,0,1,0,1,104.5,6590.8
3226,0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,1,0,26.25,1988.05
5445,1,0,0,1,29,1,2,1,0,2,2,2,0,2,1,0,1,100.55,2830.45
970,0,0,1,1,18,1,0,0,2,2,0,2,0,0,1,1,3,61.5,1087.45
5438,1,1,0,0,38,1,0,0,0,2,2,2,2,0,1,1,1,70.15,2497.35
2462,1,1,0,0,26,1,0,2,1,1,1,1,1,1,1,0,1,19.3,504.2
58,1,1,1,0,70,1,2,1,0,2,2,0,2,2,1,1,2,104.8,7308.95
1362,0,0,0,0,7,1,0,1,0,0,0,0,0,2,0,1,2,79.3,523.15
6860,0,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,0,20.85,450.65
706,0,0,0,1,25,1,0,0,0,2,0,2,0,0,1,1,1,54.75,1266.35
790,1,0,0,0,33,0,1,0,0,2,0,0,2,0,1,1,2,39.1,1309.0
389,1,1,1,0,27,1,2,1,0,2,2,0,0,2,0,1,2,95.55,2510.2
4905,1,0,1,1,15,1,2,1,0,0,0,0,0,0,0,1,0,74.9,1107.25
690,0,0,0,0,41,1,2,2,1,1,1,1,1,1,1,1,3,24.85,962.25
5064,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6
4143,1,1,1,0,44,1,2,1,0,0,2,0,2,0,0,1,2,89.2,4040.2
5491,1,0,1,1,66,1,0,2,1,1,1,1,1,1,2,1,3,19.75,1344.5
2797,1,0,0,1,19,1,0,2,1,1,1,1,1,1,2,0,1,20.85,467.5
6476,1,0,1,0,17,1,2,1,2,2,2,0,0,0,0,0,1,90.2,1454.15
1022,1,0,0,0,7,1,0,1,0,0,2,0,0,0,0,1,2,74.9,490.55
5055,0,1,1,0,21,1,2,0,0,2,2,0,0,2,1,0,0,71.7,1497.05
1740,1,0,1,0,61,1,2,1,0,2,0,2,2,0,2,1,2,94.1,5638.3
5216,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,2,50.7,214.55
4858,1,0,1,1,58,1,0,0,0,2,0,2,2,2,1,1,1,75.2,4300.8
2009,0,0,1,1,21,0,1,0,2,0,2,0,2,2,1,1,2,55.95,1157.05
2447,1,0,0,1,60,1,0,2,1,1,1,1,1,1,2,0,3,19.95,1189.9
5539,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,1188.2
3821,1,1,1,0,36,1,2,1,0,0,0,0,0,2,0,1,1,85.25,3132.75
5494,0,1,0,0,57,0,1,0,0,2,2,0,2,2,0,1,2,55.0,3094.05
1927,1,0,0,0,24,1,0,0,2,0,0,2,0,0,0,0,2,54.95,1348.5
3061,1,0,1,1,68,1,0,1,2,2,2,0,2,2,2,1,0,105.25,7173.15
79,1,0,1,0,72,1,0,1,0,0,2,0,2,2,0,1,2,94.65,6747.35
242,1,0,0,0,9,0,1,0,2,2,2,0,0,0,1,0,3,39.55,373.0
5973,1,0,0,1,66,1,0,0,0,2,2,2,2,2,2,1,1,79.5,5196.1
6030,0,0,0,0,8,1,2,1,0,0,0,0,0,0,0,1,2,73.5,632.2
2039,0,0,1,1,50,1,0,1,0,0,2,2,2,2,1,0,3,103.05,5153.5
4013,0,0,0,0,10,1,2,1,0,0,0,0,0,0,0,1,3,75.75,777.3
1769,1,0,1,0,54,0,1,0,0,2,0,0,0,0,0,0,2,30.4,1621.35
5721,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.65,79.65
1922,1,0,1,0,71,1,2,1,2,0,2,2,2,2,2,1,1,108.55,7616.0
602,1,0,1,1,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,385.9
6570,1,0,0,0,33,1,2,0,0,2,0,0,0,0,0,1,0,54.65,1665.2
5523,1,1,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,86.65,856.65
1485,0,0,1,0,72,0,1,0,2,2,2,0,0,2,2,1,2,49.2,3580.95
4961,0,1,1,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.85,20.85
5985,0,0,0,0,67,1,2,2,1,1,1,1,1,1,2,1,0,25.6,1790.35
5837,0,0,1,0,22,1,0,1,0,0,0,0,2,0,0,1,1,80.0,1706.45
2099,1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,6125.4
428,0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1
1800,0,0,1,1,68,1,2,1,2,0,2,2,2,2,2,0,1,111.75,7511.3
445,1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,713.0
1266,0,0,0,0,58,1,2,1,2,0,0,0,0,0,0,1,0,79.8,4526.85
22,0,0,1,1,23,1,2,1,0,0,0,0,2,0,0,1,2,83.75,1849.95
775,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1756.2
4010,0,0,1,0,41,1,0,1,0,2,2,2,0,0,1,1,0,86.2,3339.05
945,0,0,1,1,0,0,1,0,2,2,2,2,2,0,2,0,1,56.05,0.0
815,1,0,1,0,61,0,1,0,2,0,2,2,2,2,2,1,3,62.15,3778.85
387,0,0,1,1,46,1,2,1,2,0,2,2,0,2,2,0,3,99.65,4630.2
2032,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75
1813,1,0,0,0,7,1,0,1,0,2,0,0,2,2,0,1,2,94.25,669.0
334,1,0,0,0,21,1,2,1,0,0,0,0,0,0,0,1,2,73.7,1558.7
2668,0,1,0,0,13,1,2,1,0,0,0,0,2,2,0,1,2,95.05,1290.0
391,0,0,1,1,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1845.9
695,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0,1,1,69.05,1815.65
5599,1,0,0,0,4,0,1,0,2,2,0,2,0,0,0,0,3,42.4,146.4
4102,0,0,0,1,63,1,0,2,1,1,1,1,1,1,2,0,1,19.5,1215.1
336,1,1,1,0,5,1,2,1,0,0,2,0,0,0,0,1,0,79.9,343.95
7026,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,1,19.7,129.55
5169,0,0,1,0,55,1,2,1,0,2,2,0,2,0,0,1,1,94.45,5073.1
5562,1,0,1,1,51,1,0,0,2,0,0,2,2,2,1,1,0,76.4,3966.3
4096,0,0,1,1,56,1,2,0,2,0,2,0,0,2,1,1,0,68.75,3808.0
6017,1,0,0,0,18,1,0,2,1,1,1,1,1,1,1,0,3,20.1,401.85
581,1,0,1,0,72,1,2,1,2,2,2,2,0,2,2,0,0,105.6,7581.5
3109,0,0,1,1,19,1,0,0,0,0,2,0,0,0,0,1,0,49.6,962.9
6911,1,1,0,0,22,1,2,1,0,0,0,0,2,2,0,1,2,96.7,2082.95
